                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                 1.4024,                 1.7455,                 1.9412,                0.59881,                 0.5071,                0.54497,                 0.3521,                 1.2952,                 1.6147,                 1.9019,              0.0006734,              0.0006734,              0.0006734
                     69,                   1.36,                 1.7034,                 1.9025,                0.60488,                0.50304,                0.53338,                0.33705,                 1.3439,                 1.6421,                 1.9535,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.3705,                 1.7036,                 1.9196,                0.60761,                0.51826,                0.55031,                0.35112,                 1.3244,                 1.6205,                 1.9279,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.3481,                 1.6628,                 1.8953,                0.66875,                0.48783,                0.56332,                0.36253,                 1.3014,                 1.6281,                  1.918,               0.000614,               0.000614,               0.000614
                     72,                 1.3242,                 1.6758,                 1.8917,                0.66112,                0.49861,                0.56951,                0.36756,                 1.3078,                 1.5526,                 1.9216,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.3409,                 1.6695,                 1.8883,                0.56863,                0.55483,                0.55793,                0.35725,                  1.288,                 1.5709,                 1.8813,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.3362,                 1.6594,                 1.8918,                0.62774,                0.53873,                0.58226,                0.38232,                 1.2723,                 1.5197,                  1.869,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.3367,                 1.6605,                 1.8953,                0.63684,                0.52467,                0.57721,                0.37347,                 1.2748,                 1.5147,                 1.8714,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.3137,                 1.6547,                  1.856,                0.64819,                0.51217,                0.56943,                0.37386,                 1.2715,                 1.5469,                 1.8587,               0.000515,               0.000515,               0.000515
                     77,                 1.2992,                 1.6159,                 1.8621,                0.64767,                0.53448,                  0.586,                0.38105,                 1.2757,                 1.5107,                 1.8661,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.3175,                 1.6211,                 1.8576,                0.65272,                0.53373,                0.59108,                0.38799,                  1.262,                 1.4987,                 1.8597,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.2992,                 1.6473,                 1.8522,                0.63193,                0.53979,                0.59106,                0.38022,                 1.2975,                 1.5358,                 1.8922,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.2776,                 1.6006,                 1.8465,                0.64311,                0.55375,                0.60042,                0.39053,                 1.2742,                 1.4849,                 1.8628,              0.0004358,              0.0004358,              0.0004358
                     81,                  1.284,                 1.5975,                 1.8475,                0.68361,                0.52738,                0.60022,                0.39527,                 1.2601,                 1.4641,                 1.8489,               0.000416,               0.000416,               0.000416
                     82,                 1.3317,                 1.6313,                 1.8558,                 0.6317,                  0.541,                0.57649,                0.37743,                 1.2284,                 1.5095,                 1.8128,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.2875,                 1.6301,                 1.8249,                0.64713,                0.54665,                0.60724,                 0.4065,                  1.233,                 1.4834,                 1.8339,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.2563,                 1.5527,                 1.8327,                0.66324,                0.54057,                0.60636,                0.40192,                 1.2361,                 1.4553,                 1.8354,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.2823,                 1.5979,                 1.8308,                0.62639,                0.56694,                0.59323,                0.39075,                 1.2406,                 1.4587,                 1.8207,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.2464,                 1.5487,                 1.8021,                 0.6252,                0.56288,                0.60521,                0.40696,                 1.2117,                 1.4369,                 1.8156,               0.000317,               0.000317,               0.000317
                     87,                 1.2977,                 1.6155,                 1.8422,                0.63319,                0.56491,                0.61104,                0.41527,                 1.2141,                 1.4468,                 1.8181,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.2416,                 1.5446,                 1.8173,                0.66323,                 0.5497,                0.60892,                0.40971,                 1.2176,                 1.4186,                 1.8099,              0.0002774,              0.0002774,              0.0002774
                     89,                  1.249,                 1.5406,                 1.8086,                0.63785,                0.58114,                0.61659,                0.41417,                 1.2023,                 1.4035,                 1.7882,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.2829,                 1.5619,                 1.8403,                0.65176,                0.56376,                 0.6063,                   0.41,                 1.1896,                 1.4337,                  1.777,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.2405,                 1.7422,                 1.8596,                0.64964,                0.54725,                0.61295,                 0.4226,                 1.2044,                 1.4326,                 1.7839,               0.000218,               0.000218,               0.000218
                     92,                 1.2563,                   1.59,                 1.8713,                0.66308,                0.55781,                0.61742,                0.42397,                 1.2254,                 1.4116,                    1.8,              0.0001982,              0.0001982,              0.0001982
                     93,                 1.2005,                 1.5544,                 1.8084,                0.67222,                0.58418,                0.63068,                0.43844,                 1.1764,                 1.3768,                 1.7527,              0.0001784,              0.0001784,              0.0001784
                     94,                 1.2052,                 1.5536,                 1.8114,                0.63664,                0.59432,                0.62381,                0.43052,                 1.1732,                 1.3665,                 1.7446,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.2139,                 1.5026,                 1.8265,                0.67031,                0.59331,                0.64472,                0.45227,                  1.148,                 1.3286,                 1.7189,              0.0001388,              0.0001388,              0.0001388
                     96,                 1.1811,                  1.489,                 1.8087,                0.67418,                 0.5834,                0.63701,                 0.4458,                 1.1453,                  1.343,                 1.7129,               0.000119,               0.000119,               0.000119
                     97,                 1.1805,                 1.4851,                 1.7872,                0.66632,                0.61156,                0.65255,                0.46155,                 1.1332,                 1.3158,                 1.7033,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 1.1814,                 1.5022,                  1.794,                 0.6639,                0.61866,                0.65594,                  0.463,                 1.1308,                 1.3105,                  1.705,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 1.1798,                 1.4654,                 1.7931,                0.66472,                 0.6193,                0.65704,                0.46414,                 1.1249,                 1.2999,                 1.7026,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                 1.1592,                 1.4261,                 1.7915,                0.69456,                0.60884,                0.65848,                0.46438,                  1.116,                 1.2886,                 1.6938,               3.98e-05,               3.98e-05,               3.98e-05
